dataset,model,num_queries,retrieval_avg_sec,llm_avg_sec,endpoint_avg_sec,retrieval_total_sec,llm_total_sec,endpoint_total_sec
metaqa,metaqa_gemma2_2b_pure_jordan,9947,0.4559612559968045,0.4586219368955923,0.9145831928923968,4535.446613400214,4561.9124063004565,9097.35901970067
metaqa,metaqa_llama3_1_8b_pure_jordan,9947,0.4343935932441558,0.48466595934450746,0.9190595525886632,4320.913071999617,4820.972297599816,9141.885369599433
metaqa,metaqa_llama3_2_1b_pure_jordan,9947,0.43439131173225465,0.45690089934653516,0.8912922110787898,4320.890377800737,4544.793245799985,8865.683623600722
metaqa,metaqa_llama3_2_3b_pure_jordan,9947,0.44037817840522897,0.467116126178804,0.9074943045840329,4380.441740596812,4646.404107100563,9026.845847697376
metaqa,metaqa_mistral_7b_pure_jordan,9947,0.4459749968632714,0.27515200517753263,0.721127002040804,4436.1132937989605,2736.936995500917,7173.0502892998775
metaqa,metaqa_phi3_mini_pure_jordan,9947,0.45257600314669266,0.23596990974171533,0.6885459128884079,4501.773503300152,2347.1926922008424,6848.966195500994
wc14,wc2014_gemma2_2b_jordan,6482,0.29139377560937924,0.46363691069115,0.7550306863005292,1888.814453499996,3005.294455100034,4894.10890860003
wc14,wc2014_llama3_1_8b_jordan,6482,0.2993603668467879,0.5048528113388777,0.8042131781856656,1940.4538979008794,3272.455923098605,5212.9098209994845
wc14,wc2014_llama3_2_1b_jordan,6482,0.29394124908979546,0.4293264752083389,0.7232677242981344,1905.3271766000544,2782.8942123004526,4688.221388900507
wc14,wc2014_llama3_2_3b_jordan,6482,0.28882702579435926,0.47985168961752755,0.7686787154118868,1872.1767811990367,3110.3986521008137,4982.57543329985
wc14,wc2014_mistral_7b_jordan,6482,0.28879584598916097,0.3256763915764958,0.6144722375656567,1871.9746737017413,2111.034370198846,3983.009043900587
wc14,wc2014_phi3_mini_jordan,6482,0.3382830752697623,0.2797833668463867,0.618066442116149,2192.7508938985993,1813.5557838982786,4006.306677796878
